Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C_0402_1005Metric",16.091803,-7.076500,180.000000,top
"C2","10u","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",17.541803,-5.376500,0.000000,top
"C3","100n","C_0402_1005Metric",10.844803,-9.850000,90.000000,top
"C4","10u","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",37.157303,-19.600000,180.000000,top
"C5","1u","C_0402_1005Metric",41.200000,-19.520000,90.000000,top
"C6","1u","C_0402_1005Metric",36.494803,-21.500000,180.000000,top
"C7","1u","C_0402_1005Metric",41.144803,-10.300000,90.000000,top
"C8","10u","C_0603_1608Metric",35.114803,-9.900000,90.000000,top
"C9","0.1u","C_0402_1005Metric",33.494803,-22.800000,-90.000000,top
"C10","4.7u","CP_EIA-2012-12_Kemet-R",32.094803,-29.200000,180.000000,top
"C11","1u","C_0402_1005Metric",49.500000,-17.500000,0.000000,top
"C12","1u","C_0402_1005Metric",42.700000,-20.700000,180.000000,top
"D1","LED-Blue","LED_0603_1608Metric",37.994803,-6.500000,0.000000,top
"D2","MBR0520LT1","D_SOD-123",41.894803,-15.700000,90.000000,top
"D3","MBR0520LT1","D_SOD-123",39.294803,-15.750000,90.000000,top
"D4","STATUS","LED_0603_1608Metric",17.900000,-3.200000,0.000000,top
"Q1","IRLML2402","SOT-23",23.082303,-28.200000,0.000000,top
"Q2","IRLML2402","SOT-23",8.694803,-19.737500,90.000000,top
"R1","10k","R_0402_1005Metric",31.600000,-7.200000,180.000000,top
"R2","10k","R_0402_1005Metric",16.394803,-23.100000,0.000000,top
"R3","10k","R_0402_1005Metric",11.894803,-14.900000,-90.000000,top
"R4","3k","R_0402_1005Metric",35.894803,-6.900000,90.000000,top
"R5","5k","R_0402_1005Metric",40.114803,-7.000000,90.000000,top
"R6","5k","R_0402_1005Metric",35.584803,-5.000000,180.000000,top
"R7","10k","R_0402_1005Metric",33.694803,-5.000000,180.000000,top
"R8","3k","R_0402_1005Metric",33.724803,-6.910000,-90.000000,top
"R9","10k","R_0402_1005Metric",12.144803,-9.800000,-90.000000,top
"R10","100","R_0402_1005Metric",9.594803,-9.850000,90.000000,top
"R11","100","R_0402_1005Metric",12.284803,-13.200000,180.000000,top
"R12","100","R_0402_1005Metric",12.184803,-11.900000,180.000000,top
"R13","100k","R_0402_1005Metric",10.084803,-11.900000,0.000000,top
"R16","100k","R_0402_1005Metric",20.394803,-27.800000,90.000000,top
"R17","100k","R_0402_1005Metric",33.944803,-25.700000,0.000000,top
"R18","100","R_0402_1005Metric",21.794803,-22.600000,0.000000,top
"R19","100","R_0402_1005Metric",19.494803,-22.600000,180.000000,top
"U1","XC6206P332PR-G","SOT-89_TOR",41.223303,-24.215900,180.000000,top
"U2","TP4065-4.2V-SOT25-R","SOT-23-5L_TPW",38.254653,-9.849999,0.000000,top
"U3","NE555D","SOIC-8_3.9x4.9mm_P1.27mm",28.869803,-25.235000,0.000000,top
"U4","XC6206P332PR-G","SOT-89_TOR",46.441500,-19.200000,-90.000000,top
"U5","XC6206P332PR-G","SOT-89_TOR",46.300000,-13.658500,0.000000,top
"USB1","MICROXNJ","MICRO-USB-SMD_MICROXNJ",13.494803,-27.304000,0.000000,top
